FactID,AttritionFlag,MonthlyIncome,YearsAtCompany,PerformanceRating,DistanceFromHome,DepartmentName,JobRoleName,Age,Gender,MaritalStatus,EducationField,RiskLevel
2198,0,1051.00,0,3,5,Research & Development,Research Scientist,18,Male,Single,Life Sciences,High
1494,0,1232.00,0,3,15,Research & Development,Research Scientist,21,Male,Single,Life Sciences,High
1772,0,1200.00,0,3,10,Sales,Sales Representative,18,Female,Single,Medical,High
1767,1,1420.00,0,3,3,Research & Development,Laboratory Technician,18,Male,Single,Life Sciences,High
2624,1,1569.00,0,3,3,Sales,Sales Representative,18,Female,Single,Medical,High
2056,1,1601.00,0,4,6,Research & Development,Laboratory Technician,23,Male,Married,Life Sciences,High
2443,0,1611.00,0,3,1,Research & Development,Laboratory Technician,18,Female,Single,Life Sciences,High
1598,1,1675.00,0,3,22,Sales,Sales Representative,19,Male,Single,Marketing,High
2782,0,1514.00,0,3,14,Research & Development,Research Scientist,18,Female,Single,Medical,High
2086,0,1706.00,0,3,3,Research & Development,Research Scientist,27,Male,Married,Medical,High
1928,1,1878.00,0,3,5,Sales,Sales Representative,18,Male,Single,Marketing,High
2299,1,1904.00,0,3,8,Research & Development,Laboratory Technician,18,Male,Single,Medical,High
1473,1,2090.00,0,3,2,Research & Development,Laboratory Technician,37,Male,Single,Other,High
2149,0,2259.00,0,3,20,Research & Development,Research Scientist,48,Male,Married,Medical,High
2333,0,2290.00,0,3,17,Research & Development,Research Scientist,44,Male,Single,Life Sciences,High
1557,0,2322.00,0,3,2,Sales,Sales Representative,23,Male,Divorced,Technical Degree,High
1642,1,2325.00,0,4,1,Sales,Sales Representative,19,Female,Single,Technical Degree,High
2182,1,2404.00,0,4,10,Research & Development,Research Scientist,29,Female,Single,Life Sciences,High
2539,1,2561.00,0,3,2,Research & Development,Laboratory Technician,28,Male,Single,Medical,High
1961,0,2619.00,0,3,1,Research & Development,Research Scientist,38,Female,Single,Life Sciences,High
2331,1,2853.00,0,3,3,Research & Development,Research Scientist,22,Male,Married,Life Sciences,High
1580,0,2871.00,0,3,15,Research & Development,Laboratory Technician,22,Female,Single,Medical,High
1818,0,2976.00,0,3,4,Sales,Sales Representative,47,Male,Single,Medical,Medium
2274,0,2979.00,0,3,3,Research & Development,Research Scientist,34,Male,Married,Life Sciences,Medium
2531,1,3172.00,0,3,9,Research & Development,Laboratory Technician,24,Male,Single,Medical,Medium
2673,0,3306.00,0,3,4,Research & Development,Laboratory Technician,38,Female,Married,Medical,Medium
1735,1,3485.00,0,3,2,Research & Development,Laboratory Technician,28,Male,Single,Life Sciences,Medium
2796,0,3968.00,0,3,8,Research & Development,Laboratory Technician,42,Male,Single,Life Sciences,Medium
1931,0,4306.00,0,3,29,Sales,Sales Executive,26,Male,Divorced,Medical,Medium
2337,0,4327.00,0,3,2,Sales,Sales Executive,40,Male,Married,Medical,Medium
2790,0,4648.00,0,3,10,Sales,Sales Executive,32,Male,Single,Marketing,Medium
2272,1,4728.00,0,3,1,Sales,Sales Executive,50,Male,Single,Other,Medium
2849,0,5087.00,0,3,12,Sales,Sales Executive,42,Male,Divorced,Marketing,Low
2031,0,5121.00,0,3,8,Research & Development,Manufacturing Director,34,Female,Divorced,Life Sciences,Low
2842,0,5380.00,0,3,11,Sales,Sales Executive,56,Female,Married,Marketing,Low
2758,0,5538.00,0,3,13,Research & Development,Healthcare Representative,42,Male,Married,Medical,Low
2545,0,6388.00,0,3,8,Research & Development,Healthcare Representative,33,Male,Single,Life Sciences,Low
1736,0,6644.00,0,3,2,Sales,Sales Executive,29,Male,Married,Medical,Low
2708,1,6735.00,0,3,1,Sales,Sales Executive,32,Male,Single,Life Sciences,Low
2073,0,6877.00,0,4,2,Research & Development,Manufacturing Director,30,Female,Single,Medical,Low
2726,1,8564.00,0,4,16,Sales,Sales Executive,33,Female,Single,Life Sciences,Low
1823,0,12504.00,0,4,29,Sales,Manager,48,Female,Married,Medical,Low
1548,0,13245.00,0,3,6,Research & Development,Research Director,45,Male,Married,Other,Low
2407,0,18061.00,0,4,25,Research & Development,Manager,45,Female,Single,Medical,Low
2845,0,17875.00,1,3,21,Sales,Manager,58,Female,Married,Life Sciences,Low
2375,0,18265.00,1,3,1,Research & Development,Research Director,48,Male,Single,Life Sciences,Low
2212,0,18303.00,1,3,5,Sales,Manager,42,Male,Married,Marketing,Low
2370,0,18711.00,1,3,4,Research & Development,Manager,49,Male,Married,Medical,Low
2735,0,19038.00,1,3,2,Research & Development,Research Director,55,Male,Married,Medical,Low
2597,0,19331.00,1,3,9,Sales,Manager,50,Male,Married,Marketing,Low
1686,0,13591.00,1,3,6,Sales,Manager,41,Female,Single,Life Sciences,Low
1895,0,14118.00,1,3,29,Sales,Manager,57,Male,Divorced,Marketing,Low
1819,0,15992.00,1,3,23,Research & Development,Research Director,42,Female,Single,Life Sciences,Low
1960,0,16627.00,1,3,6,Research & Development,Research Director,43,Male,Divorced,Other,Low
2358,0,13191.00,1,3,26,Research & Development,Research Director,42,Female,Married,Medical,Low
2177,1,13194.00,1,3,24,Sales,Sales Executive,40,Female,Single,Life Sciences,Low
2246,0,10798.00,1,3,25,Sales,Sales Executive,43,Male,Divorced,Medical,Low
2680,0,10883.00,1,4,1,Research & Development,Healthcare Representative,60,Male,Divorced,Medical,Low
1929,0,10932.00,1,3,28,Sales,Sales Executive,40,Male,Divorced,Other,Low
2865,0,9679.00,1,4,5,Research & Development,Manufacturing Director,32,Male,Single,Life Sciences,Low
2155,0,9705.00,1,3,10,Sales,Sales Executive,40,Male,Divorced,Marketing,Low
1538,0,9724.00,1,3,7,Research & Development,Research Scientist,45,Male,Divorced,Life Sciences,Low
1942,0,9824.00,1,3,10,Research & Development,Healthcare Representative,38,Female,Married,Medical,Low
1910,1,9824.00,1,3,20,Research & Development,Healthcare Representative,31,Male,Married,Life Sciences,Low
1804,0,9985.00,1,3,7,Research & Development,Healthcare Representative,43,Female,Married,Life Sciences,Low
1721,1,10048.00,1,3,10,Research & Development,Manufacturing Director,37,Male,Divorced,Medical,Low
1553,0,10239.00,1,3,1,Sales,Sales Executive,55,Male,Married,Life Sciences,Low
2600,0,19613.00,1,4,9,Research & Development,Manager,42,Male,Single,Other,Low
2728,1,8161.00,1,3,16,Sales,Sales Executive,31,Male,Married,Marketing,Low
2592,0,6815.00,1,3,1,Sales,Sales Executive,36,Female,Single,Life Sciences,Low
2218,0,6861.00,1,3,3,Sales,Sales Executive,38,Male,Single,Life Sciences,Low
2786,0,6962.00,1,4,2,Research & Development,Research Scientist,36,Female,Married,Other,Low
2282,0,7351.00,1,3,2,Sales,Sales Executive,38,Male,Single,Marketing,Low
2013,0,7861.00,1,3,1,Research & Development,Manufacturing Director,38,Female,Single,Life Sciences,Low
1827,0,6781.00,1,4,2,Research & Development,Healthcare Representative,42,Male,Single,Other,Low
1675,1,6673.00,1,3,29,Research & Development,Healthcare Representative,38,Male,Married,Medical,Low
1829,0,6653.00,1,3,1,Sales,Sales Executive,36,Female,Single,Medical,Low
2266,0,6694.00,1,3,10,Sales,Sales Executive,37,Female,Divorced,Life Sciences,Low
2700,0,6516.00,1,3,8,Research & Development,Manufacturing Director,40,Female,Married,Life Sciences,Low
1843,0,6540.00,1,3,9,Research & Development,Healthcare Representative,35,Male,Single,Life Sciences,Low
1669,0,6553.00,1,3,2,Research & Development,Manufacturing Director,38,Male,Married,Life Sciences,Low
2099,0,6334.00,1,3,16,Sales,Sales Executive,37,Male,Divorced,Marketing,Low
2732,0,5811.00,1,3,18,Research & Development,Healthcare Representative,38,Male,Married,Medical,Low
1663,1,5916.00,1,3,23,Research & Development,Manufacturing Director,35,Male,Married,Life Sciences,Low
1627,0,6132.00,1,3,7,Research & Development,Manufacturing Director,51,Male,Married,Medical,Low
1521,1,5381.00,1,3,1,Research & Development,Laboratory Technician,48,Male,Single,Life Sciences,Low
1575,0,5163.00,1,3,2,Research & Development,Healthcare Representative,37,Male,Divorced,Life Sciences,Low
1798,1,5238.00,1,3,3,Sales,Sales Executive,39,Female,Married,Medical,Low
1836,0,5258.00,1,3,7,Research & Development,Manufacturing Director,46,Female,Married,Medical,Low
2028,0,5093.00,1,3,2,Research & Development,Healthcare Representative,35,Female,Divorced,Life Sciences,Low
2072,0,5094.00,1,3,16,Research & Development,Laboratory Technician,40,Male,Single,Medical,Low
2705,0,4978.00,1,3,2,Sales,Sales Executive,47,Male,Married,Marketing,Low
2215,1,4777.00,1,3,11,Research & Development,Healthcare Representative,37,Female,Married,Medical,Medium
2132,0,4765.00,1,4,8,Research & Development,Manufacturing Director,43,Female,Divorced,Life Sciences,Medium
2301,0,4766.00,1,3,12,Research & Development,Laboratory Technician,41,Male,Married,Life Sciences,Medium
2522,0,4768.00,1,3,1,Sales,Sales Executive,44,Female,Married,Marketing,Medium
2232,1,4834.00,1,3,15,Research & Development,Laboratory Technician,36,Male,Divorced,Other,Medium
2559,0,4841.00,1,3,2,Research & Development,Laboratory Technician,42,Male,Married,Medical,Medium
1993,0,4680.00,1,3,10,Research & Development,Research Scientist,37,Male,Single,Life Sciences,Medium
1975,1,4286.00,1,3,26,Sales,Sales Executive,45,Female,Married,Life Sciences,Medium
1860,0,4197.00,1,3,10,Research & Development,Manufacturing Director,37,Male,Single,Life Sciences,Medium
2295,0,4272.00,1,3,29,Research & Development,Laboratory Technician,42,Male,Single,Medical,Medium
2316,0,4422.00,1,3,26,Research & Development,Research Scientist,40,Female,Married,Medical,Medium
1585,0,4505.00,1,3,6,Research & Development,Research Scientist,34,Female,Divorced,Life Sciences,Medium
1902,0,3780.00,1,3,8,Research & Development,Laboratory Technician,54,Female,Single,Life Sciences,Medium
1862,0,3448.00,1,4,2,Research & Development,Laboratory Technician,40,Female,Married,Medical,Medium
